Timestamp,NetworkTech,NetworkMode,Level,Qual,SNR,DL_bitrate,UL_bitrate,State,EVENT,source_file
2024.06.13_18.46.41,--,LTE,-340,-20.0,2.0,2695,37,D,PERIODIC,mcar
2024.06.13_18.46.42,--,LTE,-340,-20.0,15.0,3117,68,D,PERIODIC,mcar
2024.06.13_18.46.43,--,LTE,-340,-20.0,19.0,3832,52,D,PERIODIC,mcar
2024.06.13_18.46.44,--,LTE,-340,-20.0,16.0,11088,77,D,PERIODIC,mcar
2024.06.13_18.46.45,--,LTE,-340,-20.0,15.0,5198,52,D,PERIODIC,mcar
2024.06.13_18.46.46,--,LTE,-340,-20.0,15.0,4,6,D,PERIODIC,mcar
2024.06.13_18.46.47,--,LTE,-340,-20.0,16.0,4,6,D,PERIODIC,mcar
2024.06.13_18.46.48,--,5G NSA,-105,-11.0,16.0,0,14,D,PERIODIC,mcar
2024.06.13_18.46.49,--,5G NSA,-107,-11.0,12.0,1797,60,D,PERIODIC,mcar
2024.06.13_18.46.51,--,5G NSA,-110,-11.0,9.0,3756,31,D,PERIODIC,mcar
2024.06.13_18.46.52,--,5G NSA,-108,-11.0,12.0,11809,81,D,PERIODIC,mcar
2024.06.13_18.46.53,--,5G NSA,-104,-11.0,14.0,4,6,D,PERIODIC,mcar
2024.06.13_18.46.54,--,5G NSA,-102,-11.0,16.0,4,6,D,PERIODIC,mcar
2024.06.13_18.46.55,--,5G NSA,-103,-11.0,15.0,4,6,D,PERIODIC,mcar
2024.06.13_18.46.56,--,5G NSA,-102,-11.0,16.0,4,7,D,PERIODIC,mcar
2024.06.13_18.46.57,--,5G NSA,-100,-11.0,17.0,4,5,D,PERIODIC,mcar
2024.06.13_18.46.58,--,5G NSA,-100,-11.0,16.0,4,5,D,PERIODIC,mcar
2024.06.13_18.46.59,--,LTE,-340,-20.0,17.0,4,6,D,PERIODIC,mcar
2024.06.13_18.47.00,--,5G NSA,-113,-12.0,17.0,71,84,D,PERIODIC,mcar
2024.06.13_18.47.01,--,5G NSA,-105,-11.0,17.0,5253,59,D,PERIODIC,mcar
2024.06.13_18.47.02,--,5G NSA,-106,-11.0,21.0,4,5,D,PERIODIC,mcar
2024.06.13_18.47.03,--,5G NSA,-104,-11.0,21.0,4,5,D,PERIODIC,mcar
2024.06.13_18.47.04,--,5G NSA,-105,-11.0,20.0,4,5,D,PERIODIC,mcar
2024.06.13_18.47.05,--,5G NSA,-111,-11.0,18.0,6,15,D,PERIODIC,mcar
2024.06.13_18.47.06,--,5G NSA,-118,-12.0,18.0,4,7,D,PERIODIC,mcar
2024.06.13_18.47.07,--,5G NSA,-119,-12.0,17.0,4,5,D,PERIODIC,mcar
2024.06.13_18.47.08,--,5G NSA,-118,-12.0,16.0,4,5,D,PERIODIC,mcar
2024.06.13_18.47.09,--,5G NSA,-120,-13.0,15.0,4,5,D,PERIODIC,mcar
2024.06.13_18.47.10,--,5G NSA,-118,-13.0,11.0,4,5,D,PERIODIC,mcar
2024.06.13_18.47.11,--,5G NSA,-120,-13.0,10.0,4,6,D,PERIODIC,mcar
2024.06.13_18.47.12,--,5G NSA,-119,-13.0,7.0,5,18,D,PERIODIC,mcar
2024.06.13_18.47.13,--,5G NSA,-112,-12.0,11.0,5088,40,D,PERIODIC,mcar
2024.06.13_18.47.14,--,5G NSA,-117,-12.0,12.0,12328,84,D,PERIODIC,mcar
2024.06.13_18.47.15,--,5G NSA,-120,-13.0,10.0,29,43,D,PERIODIC,mcar
2024.06.13_18.47.16,--,5G NSA,-119,-13.0,9.0,5972,46,D,PERIODIC,mcar
2024.06.13_18.47.17,--,5G NSA,-119,-13.0,9.0,4,6,D,PERIODIC,mcar
2024.06.13_18.47.18,--,5G NSA,-117,-13.0,8.0,4,6,D,PERIODIC,mcar
2024.06.13_18.47.19,--,5G NSA,-115,-12.0,10.0,6,16,D,PERIODIC,mcar
2024.06.13_18.47.20,--,5G NSA,-114,-12.0,11.0,4,6,D,PERIODIC,mcar
2024.06.13_18.47.21,--,5G NSA,-114,-12.0,11.0,4,6,D,PERIODIC,mcar
2024.06.13_18.47.22,--,5G NSA,-111,-12.0,12.0,4,6,D,PERIODIC,mcar
2024.06.13_18.47.23,--,5G NSA,-111,-11.0,14.0,4,7,D,PERIODIC,mcar
2024.06.13_18.47.24,--,5G NSA,-111,-11.0,13.0,4,5,D,PERIODIC,mcar
2024.06.13_18.47.25,--,5G NSA,-108,-11.0,13.0,4,5,D,PERIODIC,mcar
2024.06.13_18.47.26,--,5G NSA,-106,-11.0,15.0,4,5,D,PERIODIC,mcar
2024.06.13_18.47.27,--,5G NSA,-108,-11.0,16.0,4,5,D,PERIODIC,mcar
2024.06.13_18.47.28,--,5G NSA,-116,-12.0,14.0,4,5,D,PERIODIC,mcar
