Timestamp,NetworkTech,NetworkMode,Level,Qual,SNR,DL_bitrate,UL_bitrate,State,EVENT,source_file
2024.06.15_09.06.27,--,LTE,-340,-20.0,0.0,2726,133,D,PERIODIC,mc8
2024.06.15_09.06.28,--,LTE,-340,-20.0,0.0,2495,124,D,PERIODIC,mc8
2024.06.15_09.06.29,--,LTE,-340,-20.0,1.0,2557,100,D,PERIODIC,mc8
2024.06.15_09.06.30,--,LTE,-340,-20.0,1.0,2418,123,D,PERIODIC,mc8
2024.06.15_09.06.31,--,LTE,-340,-20.0,1.0,2247,83,D,PERIODIC,mc8
2024.06.15_09.06.32,--,5G NSA,-106,-12.0,4.0,2594,69,D,PERIODIC,mc8
2024.06.15_09.06.33,--,5G NSA,-102,-11.0,7.0,2667,153,D,PERIODIC,mc8
2024.06.15_09.06.34,--,5G NSA,-102,-12.0,5.0,2509,153,D,PERIODIC,mc8
2024.06.15_09.06.35,--,5G NSA,-103,-12.0,5.0,2494,131,D,PERIODIC,mc8
2024.06.15_09.06.36,--,5G NSA,-104,-12.0,5.0,2543,147,D,PERIODIC,mc8
2024.06.15_09.06.37,--,5G NSA,-102,-12.0,5.0,2528,113,D,PERIODIC,mc8
2024.06.15_09.06.38,--,5G NSA,-105,-12.0,4.0,2507,134,D,PERIODIC,mc8
2024.06.15_09.06.39,--,5G NSA,-105,-12.0,6.0,1204,69,D,PERIODIC,mc8
2024.06.15_09.06.40,--,5G NSA,-107,-12.0,5.0,4,5,D,PERIODIC,mc8
2024.06.15_09.06.41,--,5G NSA,-107,-12.0,4.0,4,5,D,PERIODIC,mc8
2024.06.15_09.06.42,--,5G NSA,-107,-12.0,4.0,4806,120,D,PERIODIC,mc8
2024.06.15_09.06.43,--,5G NSA,-105,-12.0,5.0,2510,131,D,PERIODIC,mc8
2024.06.15_09.06.44,--,5G NSA,-105,-12.0,4.0,2520,139,D,PERIODIC,mc8
2024.06.15_09.06.45,--,5G NSA,-107,-12.0,3.0,2503,132,D,PERIODIC,mc8
2024.06.15_09.06.46,--,5G NSA,-105,-12.0,4.0,2544,112,D,PERIODIC,mc8
2024.06.15_09.06.47,--,5G NSA,-105,-12.0,4.0,2463,145,D,PERIODIC,mc8
2024.06.15_09.06.48,--,5G NSA,-109,-12.0,4.0,484,25,D,PERIODIC,mc8
2024.06.15_09.06.49,--,5G NSA,-108,-12.0,4.0,65,32,D,PERIODIC,mc8
2024.06.15_09.06.50,--,5G NSA,-110,-12.0,3.0,4,6,D,PERIODIC,mc8
2024.06.15_09.06.51,--,5G NSA,-110,-12.0,5.0,1841,56,D,PERIODIC,mc8
2024.06.15_09.06.52,--,5G NSA,-110,-12.0,4.0,3496,93,D,PERIODIC,mc8
